Nota,HaQuantoTempo,TipoRefeicao,Preco,Comentario,Comida,Serviço,Ambiente,Barulho,Espera,tamanho_texto
1,9 meses atrás,Brunch,R$ 40–60,"péssima experiência e ainda passei mal.primeiro, vá sabendo que os preços são bem elevados... frequento diversas cafeterias em bairros nobres como higienópólis e oscar freire e mesmo assim pago menos.pedi um café mocha que custou 19,00. no começo, achei que tinham me servido errado, pois não senti gosto nenhum do chocolate. ao chegar no fim, vi a calda de chocolate no fundo e logo me questionei: por qual razão não serviram já com uma colher? depois que experimentei a calda, preferi que fosse assim mesmo, já que tinha um gosto horrível.o croissant não é nada demais, nada que justifique o valor de 25 reais. como eu mencionei, você encontra em outras cafeterias croissants com qualidade bem melhor e valor um pouco inferior.além de pagar quase 50 reais em um simples lanche, os funcionários são mal educados. o atendente que me entregou o croissant não respondeu meu boa noite, e quando o agradeci pela bandeja, ele respondeu ""próximo!!"". ah, vale ressaltar que você não é servido: você retira os pedidos no balcão.por fim, o ponto principal: eu passei mal depois! sai pesada e com a sensação de estufamento, além de sentir meu estômago ""revirado"".tem muitas opções de comida, é um espaço grande, bem climatizado e ""instagramável"", mas não voltaria nessa cafeteria por tudo que aconteceu.além disso, vale ressaltar que também estava com um amigo e ele também passou mal após comer o lanche de salmão.",1,2,5,Não informado,Sem espera,1405
5,Editado um ano atrás,Refeição no local,Café da manhã,"📍cafeteria localizada bem em frente a saída da estação da liberdade, com produtos diferenciados e repleta de opções.tem tanta opção que você nem sabe o que escolher rsrsmas sempre que vou,  procuro optar por algo que gostei muito e algo que nunca provei,  para ir conhecendo e experimentando novos sabores.🥐 o croissant de amêndoas é maravilhoso, tem a massa bem folhada, fresquinha e super macia, uma delícia.custo: r$ 16,50🥐 o croissant de shimeji com gorgonzola, é bem diferente, porém muito gostoso também e tem um leve toque picante no final, vale a pena experimentar.o choux de matchá - quitute de origem francesa, mas que se popularizou no japão e ganhou adaptações orientais. a massa tem crosta crocante e recheio de matchá.🌿 matcha é um chá verde moído do japão. literalmente a palavra matcha significa chá em pó. matcha chá também é um ingrediente de confeitaria no japão. também no ocidente, é usado para fazer smoothies, sorvetes e sobremesas variadas.🍗 a coxinha de frango é muito gostosa, a massa é fina e eles capricham no recheio.o toast de muçarela de búfala, com tomate cereja, também é muito bom.🥙 o lanche de salmão defumado é maravilhoso.☕ o café latte é bem gostosinho, o suco de laranja é natural e pelo que percebi eles não adicionam água, somente o suco  mesmo.super recomendo.",5,4,4,Não informado,Não informado,1302
4,9 meses atrás,R$ 20–40,Não informado,"minha experiência no 89°c coffee station – liberdade ☕o espaço é bem amplo, com um ambiente bonito e moderno, mas pode ser um pouco caótico na hora de fazer os pedidos. há uma fila separada para comidas e outra apenas para bebidas, o que pode causar confusão, principalmente em dias mais movimentados.estive lá em um sábado e o local estava super lotado, então é bom ir com um pouco de paciência. por outro lado, o atendimento é surpreendentemente rápido e a equipe é super cordial – ponto positivo para o time, que merece elogios!recomendo para quem estiver passeando pela região e quiser experimentar um cafezinho diferente ou alguma bebida especial. só vale destacar que os preços são um pouco elevados, então prepare-se para isso.no geral, acho que vale a pena conhecer o local, principalmente se você curte cafés especiais em ambientes estilosos.",4,4,4,"Nível alto de barulho, mas ainda é possível conversar",De 10 a 30 min,851
4,6 meses atrás,R$ 40–60,Não informado,"fui em uma 6ªf a tarde. tinha fila, mas não é surreal que nem no fim de semana. andou rápido. só achei ruim que você precisa decidir só olhando na vitrine enquanto anda na fila.comi o bolo de blackberry & lemon e estava muito bom!bebidas você pede em uma fila a parte. tinha quase nada de fila. pedi matchá latte, com a troca do leite por leite vegetal (há adição de valor).tem 2 andares com mesas e consegui sentar no 2º andar sem aguardar.recomendo conhecer, mas de dia de semana.",5,4,3,"Nível alto de barulho, mas ainda é possível conversar",Não informado,482
4,um mês atrás,Café da manhã,R$ 60–80,"eu adoro essa cafeteria, sempre quando estou em são paulo realizo mais de uma refeição nela. muitas variedades de doces e salgados. você faz o pedido no balcão, eles entregam a bandeja com a comida e a bebida, e você escolhe onde sentar. a única coisa que incomoda é a quantidade de pessoas (quase sempre lotado). os preços são aceitáveis. só não vou dar 5 estrelas, porque algumas bebidas são bem doces, se tornando enjoativas. mas vale super a pena visitar a cafeteria.",4,2,4,Não informado,Não informado,471
5,8 meses atrás,Café da manhã,R$ 60–80,"adorei o café e os doces, principalmente os doces né, tem muitos doces temáticos de animações que pode despertar muita curiosidade em quem olha. recomendo a todos os turistas!",5,5,5,Nível moderado de barulho,Até 10 minutos,175
5,um ano atrás,Refeição no local,Café da manhã,"eu nunca vou me esquecer de o quão maravilhoso o croassaint de chocolate belga foi na minha vida. eu ainda penso nele todos os dias.o lugar é maravilhoso, com sobressalva às comidas que são divinas!! não é um lugar vazio, pelo contrário, você pode ir às 7 horas da manhã de uma quarta-feira que vai ter bastante gente. porém, esse é aparentemente o único defeito que consigo citar, sendo esse a origem para outros: acredito que com o grande volume de clientes e trabalho os atendentes acabam sobrecarregados e deixam isso transparecer, mas ainda sim são muito prestativos. comi de doce, um croassaint de chocolate belga; parte salgada, um kare pan. tomei um matcha latte para experimentar o chimarrão dos asiáticos pela primeira vez: vai muito bem com coisas salgadas, porém é terrível de acompanhar doces.experiência linda, o ambiente é agradável, principalmente nos andares de cima. os preços não chegam nem perto de serem baratos, porém eu achei muito em conta comparado ao que geralmente é cobrado na área.não vejo a hora de voltar lá!!",5,4,4,Não informado,Não informado,1040
5,9 meses atrás,Café da manhã,R$ 40–60,"o lugar e muito bacana, a fila la dentro e enorme mas anda bem rápido, ao fazer o pedido vc já precisa saber o que pedir pois é bem rápido não dá pra ficar enrolando. vale muito a pena o croissant  com morangos, é divino assim como a baguete de salame, adorei pretendo voltar e experimentar outras delícias 😋",5,5,5,Não informado,Até 10 minutos,308
5,um ano atrás,Refeição no local,Brunch,"local com muitas opções de doces artesanais e também salgados.possui um ambiente grande e com muitas mesas, o atendimento apesar de sempre cheio é relativamente rapido.pedi um croissant de chocolate belga e foi muito bom, o chocolate é suave e não enjoativo.",5,5,5,Não informado,Não informado,258
5,11 meses atrás,Refeição no local,Café da manhã,"local é bem cheio nós fins de semana, porém super vale a pena!atendimento maravilhoso, atendentes super simpáticos e bem pontuais na entrega, quando estava na fila estava prestando a atenção nos processos de atendimento e vi que é extremamente organizado, os funcionários são bem ágeis e demonstraram estar bem leves e tranquilos mesmo com o estabelecimento lotadíssimo, demonstraram autocontrole e alegria em servir. o local é super limpo e a funcionária que limpava as mesas era super ágil e atenciosa.a comida é incrível não tem nem muito o que falar. os preços são justos e equivalentes.super recomendo.",5,5,5,Não informado,Não informado,607
5,um ano atrás,Refeição no local,Café da manhã,"já tinha um tempo que eu queria conhecer. valeu muito a pena. as opções são diversas tanto de doces quanto de salgados e, além de bonitos, são saborosos. as vitrines estão sempre cheias e muito bonitas. opções de bebidas também bem variada. achei o preço a cereja do bolo, muito justo por tudo que oferece.o espaço enche bastante, mas foi fácil achar uma mesa estando em duas pessoas. por conta do volume de pessoas as filas podem ficar confusar e passar com a bandeja pode ser um desafio.muito fácil o acesso, quase em frente ao metrô.",5,4,4,Não informado,Não informado,536
3,um ano atrás,Refeição no local,Outro,"salgados e doces saborosos. doces menos adocicados que os da confeitaria brasileira, com alguns sabores mais exóticos.infelizmente como tantos bons lugares na região, fica sempre com muito mais clientes que a capacidade.o serviço é organizado de uma maneira peculiar: uma fila para salgados e doces e uma outra fila para bebidas, da qual você sai com uma senha eletrônica para mais um pouco de espera.há balcão e mesas nos dois andares superiores para uso livre de quem tem sorte.",5,2,1,Não informado,Não informado,480
5,2 anos atrás,Refeição no local,Jantar,"lugar movimentadíssimo, mas com bom atendimento e rápido. os produtos já estão prontos, basta escolher na vitrine. os salgados são aquecidos na hora. tem fila pra pegar a bebida, outra fila para os salgados e mais outra para os doces. são tantas opções que dá vontade de pegar um de cada... experimentei a focaccia, que estava muito deliciosa e bem servida. os doces são lindos. o macaron de amora estava muito bom.  tem dois andares onde podemos sentar e saborear com calma. muito bom para comer alguma coisa diferente...",4,5,5,Não informado,Não informado,522
5,10 meses atrás,Café da manhã,R$ 40–60,"peguei um new york roll e um sanduíche de copa para levar. destaque absoluto para o roll de pistache: super recheado e extremamente delicioso! tudo muito saboroso, valeu muito a pena.",5,5,5,Não informado,Até 10 minutos,183
5,um ano atrás,Não informado,Não informado,"a padaria é ótima, faz jus as suas avaliações. tem muita variedade e o preço é justo com o que ofertam, contudo, acredito que os pratos são mais bem apresentados do que tem um gosto bom, a comida é boa, mas acredito que servem mais as pessoas que tem um paladar que gosta de coisas mais leves e pouco doce, principalmente, por ter doces importados. então não vá buscando opções de doces e salgados comum de padaria, porque esse não é o lugar. foi uma boa experiência e tem uma boa estrutura e bastante fila como tudo em são paulo rsrsrs. recomendo💕",4,5,4,Não informado,Não informado,548
5,2 anos atrás,Refeição no local,Outro,"as comidas e bebidas são maravilhosas!conheço a loja desde a inauguração, gosto muito dos produtos da 89!a qualidade dos ingredientes é muito boa, eu amei o novo produto deles: o new york roll.eu já comi de outros lugares, mas esse foi o que mais gostei, maravilhoso! bem recheado, saboroso e a massa crocante, deliciosa!eu comi o de pistache.super recomendo!o horário que fui ontem já era tarde e não estavam fazendo bebidas geladas, apenas as quentes. então peguei um kombuchá dos refrigeradores, pois estava muito calor e não dava para tomar bebidas quentes. mas já tomei bebidas geladas em outras visitas e estavam muito boas!ponto que tem que melhorar é a forma do atendimento e o ambiente: é muito lotado e fica desorganizado o atendimento, um pouco confuso.",5,4,3,Não informado,Não informado,764
5,Editado 2 anos atrás,Refeição no local,Café da manhã,"este é definitivamente o lugar perfeito para desfrutar de um delicioso café da manhã ou tarde na liberdade! considero-o a melhor cafeteria local, pois a diversidade de opções oferecidas é simplesmente incrível. eles servem café gourmet, karepan (pão recheado), chá com boba e muitas outras opções deliciosas.é verdade que o local costuma ficar bastante movimentado, e as reclamações sobre a lotação são compreensíveis, afinal, é tão popular que atrai muitos clientes. no entanto, nas três vezes em que visitei, consegui encontrar lugar para sentar, então isso não foi um problema para mim. além disso, é ótimo saber que eles têm opções para vegetarianos e pessoas com restrições alimentares, o que torna a experiência ainda mais inclusiva e agradável.o sistema de filas não é tão organizado,  mas é dividido em lanches (doces e salgados), bebidas e pagamento, facilita o processo de compra e mas nem sempre evita confusão pois o espaço é bem apertado. o fato de haver dois andares oferece ainda mais espaço para acomodar os clientes.quanto ao atendimento, foi padrão, sem grandes destaques positivos ou negativos. o importante é que tudo o que comi, desde os salgados até as sobremesas, estava simplesmente ótimo! em particular, recomendo experimentar o karepan, que é uma verdadeira sensação.em relação ao preço, considero-o razoável, levando em conta a qualidade e a variedade das opções oferecidas.se você não se sente confortável em lugares muito cheios, vale a pena considerar a opção de levar os itens para viagem. essa cafeteria é definitivamente um destino imperdível para quem deseja saborear uma diversidade de delícias na liberdade.voltaria? com toda certeza que sim.",5,4,5,Não informado,Não informado,1678
5,4 meses atrás,Café da manhã,R$ 20–40,"adorei o croissant, delicioso. a choux de baunilha impecável. lugar lindo e bem localizado na liberdade! amei.",4,5,5,Não informado,Não informado,110
5,9 meses atrás,Brunch,R$ 100–120,"uma das melhores experiências que eu já tive na liberdade, tudo nesse lugar é perfeito e vale cada centavo, o ponto negativo é apenas as filas que sempre estão gigantes!! tá sempre muito cheio, mas o atendimento e atenção dos funcionários é um espetáculo a parte.",5,5,5,Não informado,De 10 a 30 min,263
5,4 meses atrás,Não informado,Não informado,"verias opções de café, pães, salgados e doces, cada um mais gostoso do que outro. difícil ir e comer um só.",5,5,5,Não informado,Não informado,107
5,8 meses atrás,R$ 40–60,Não informado,"adorei este café, tem uma fila danada mas vale a pena conhecer. os itens são caros mas como é bem personalizado e diferente, eu amei! o café é gostoso, os doces e salgados são ótimos.",5,5,5,"Nível alto de barulho, mas ainda é possível conversar",Varia de acordo com o horário e o dia,183
5,um ano atrás,Refeição no local,Café da manhã,tudo muito saboroso e bem feito. ambiente agradável.o cappuccino gelado e o new york roll de nutella são fenomenais.o sanduíche de queijo com salame é sempre uma opção certeira.,5,4,5,Não informado,Não informado,177
4,11 meses atrás,Não informado,Não informado,"local muito bonito assim como sua vista da janela. o problema é que quando lota fica difícil transitar com seu alimento até a área das mesas, tendo que ficar desviando dos outros tendo risco de derrubar. é que lá você pede bebidas num balcão, o alimento num outro balcão e daí você luta pra achar uma mesa pra ti.achei os preços inflacionados mas já imaginava. a comida é muito boa e achei o espaço bem agradável.recomendo baixar o cardápio de bebidas pelo qr code (tem umas plaquinhas espalhadas perto da entrada), pra chegar no balcão sem pressão de ter que escolher logo.por mim, vale conhecer sim.",5,3,4,Não informado,Não informado,601
